Player name            Character GP    Ship GP    Total GP
-------------------  --------------  ---------  ----------
DBCooper                    1932743    1277913     3210656
LetQuigonsbeQuigons         2379727    1439316     3819043
Wolfe                       1271573     896193     2167766
Lacutas                     2536924    1605782     4142706
mko                         2803038    1808255     4611293
Jordey Dathas               2074071    1313141     3387212
coori                       1990411    1320548     3310959
process                     2210334    1475781     3686115
Sparklemissus               1501031     892952     2393983
En Brigar                   1995597    1319819     3315416
Angelus Nex                 2246976    1424245     3671221
Grimaldi                    1842460    1092722     2935182
Fear the Reaper             2216334    1434332     3650666
Frog                        1850548    1278815     3129363
kristilovescake             1667789    1255749     2923538
RamblinAlaskan7             2452393    1504684     3957077
BlockDesperado              2453158    1558824     4010369
Nivek Balock                2338768    1340967     3679735
gnz                         1151313     743116     1894429
crazytaco                   2552935    1615157     4168092
zepplin                     2600356    1600976     4201332
D4rth M4ul                  2155134    1595558     3750692
Zoo Nami                    2172855    1623950     3796805
Bad Pappy                   1894087    1219151     3113238
Thorongil                   1641574    1168086     2809660
Taco                        1437438     795830     2233268
TrishLord99                 2108403    1365424     3473827
lil' Q                      1399477     967757     2367234
Dasherga                    1643099    1200047     2843146
CipherNine9                 2031616    1538995     3570611
Miahalex420                 1878087    1110222     2987892
Orleans the First           1781121    1228344     3009465
SLOAN                       2071498    1197839     3269337
